c,t, u[i-1], u[i], p^[i], u[i+1], v[i], acc[i]
0,0,-0.106,0.1,2940,0.294,2,-1.2
0,0.1,0.1,0.294,4253.07,0.425307,1.62653,-6.26933
0,0.2,0.294,0.425307,4669.4,0.46694,0.8647,-8.96733
0,0.3,0.425307,0.46694,4114.93,0.411493,-0.0690681,-9.70804
0,0.4,0.46694,0.411493,2726.91,0.272691,-0.971245,-8.33549
0,0.5,0.411493,0.272691,823.119,0.0823119,-1.64591,-5.15773
0,0.6,0.272691,0.0823119,-1168.56,-0.116856,-1.94773,-0.878822
0,0.7,0.0823119,-0.116856,-2804.6,-0.28046,-1.81386,3.55627
0,0.8,-0.116856,-0.28046,-3723.68,-0.372368,-1.27756,7.1697
0,0.9,-0.28046,-0.372368,-3726.16,-0.372616,-0.46078,9.16595
0,1,-0.372368,-0.372616,-2817.96,-0.281796,0.45286,9.10686
0,1.1,-0.372616,-0.281796,-1208.96,-0.120896,1.2586,7.00801
0,1.2,-0.281796,-0.120896,733.564,0.0733564,1.77576,3.33517
0,1.3,-0.120896,0.0733564,2566.25,0.256625,1.8876,-1.09834
0,1.4,0.0733564,0.256625,3867.86,0.386786,1.56715,-5.31076
0,1.5,0.256625,0.386786,4332.66,0.433266,0.883202,-8.36818
0,1.6,0.386786,0.433266,3838.43,0.383843,-0.0147173,-9.59021
0,1.7,0.433266,0.383843,2474.19,0.247419,-0.929232,-8.70008
0,1.8,0.383843,0.247419,521.381,0.0521381,-1.65852,-5.88574
0,1.9,0.247419,0.0521381,-1607.32,-0.160732,-2.04076,-1.7589
0,2,0.0521381,-0.160732,-3458.09,-0.345809,-1.98973,2.7793
 , , , , , , ,
100,0,-0.116,0.1,1880,0.094,1.05,-22.2
100,0.1,0.1,0.094,1693.07,0.0846533,-0.0767333,-0.334664
100,0.2,0.094,0.0846533,1545.77,0.0772886,-0.0835571,0.198187
100,0.3,0.0846533,0.0772886,1432.2,0.07161,-0.0652165,0.168625
100,0.4,0.0772886,0.07161,1346.39,0.0673197,-0.0498443,0.13882
100,0.5,0.07161,0.0673197,1282.44,0.0641219,-0.0374407,0.109252
100,0.6,0.0673197,0.0641219,1234.57,0.0617287,-0.0279551,0.0804596
